Sl.no,Gender,Mood,Weather,Occasion,Output
324,Others,Excited,Sunny,Casual,Default outfit description.
325,Others,Excited,Cloudy,Formal,Default outfit description.
326,Others,Excited,Cloudy,Ethnic,Default outfit description.
327,Others,Excited,Cloudy,Party,Default outfit description.
328,Others,Excited,Cloudy,Casual,Default outfit description.
329,Others,Excited,Rainy,Formal,Default outfit description.
330,Others,Excited,Rainy,Ethnic,Default outfit description.
331,Others,Excited,Rainy,Party,Default outfit description.
332,Others,Excited,Rainy,Casual,Default outfit description.
333,Others,Excited,Cool,Formal,Default outfit description.
334,Others,Excited,Cool,Ethnic,Default outfit description.
335,Others,Excited,Cool,Party,Default outfit description.
336,Others,Excited,Cool,Casual,Default outfit description.
337,Others,Mellow,Sunny,Formal,Default outfit description.
338,Others,Mellow,Sunny,Ethnic,Default outfit description.
339,Others,Mellow,Sunny,Party,Default outfit description.
340,Others,Mellow,Sunny,Casual,Default outfit description.
341,Others,Mellow,Cloudy,Formal,Default outfit description.
342,Others,Mellow,Cloudy,Ethnic,Default outfit description.
343,Others,Mellow,Cloudy,Party,Default outfit description.
344,Others,Mellow,Cloudy,Casual,Default outfit description.
345,Others,Mellow,Rainy,Formal,Default outfit description.
346,Others,Mellow,Rainy,Ethnic,Default outfit description.
347,Others,Mellow,Rainy,Party,Default outfit description.
348,Others,Mellow,Rainy,Casual,Default outfit description.
349,Others,Mellow,Cool,Formal,Default outfit description.
350,Others,Mellow,Cool,Ethnic,Default outfit description.
351,Others,Mellow,Cool,Party,Default outfit description.
352,Others,Mellow,Cool,Casual,Default outfit description.
353,Others,Droopy,Sunny,Formal,Default outfit description.
354,Others,Droopy,Sunny,Ethnic,Default outfit description.
355,Others,Droopy,Sunny,Party,Default outfit description.
356,Others,Droopy,Sunny,Casual,Default outfit description.
357,Others,Droopy,Cloudy,Formal,Default outfit description.
358,Others,Droopy,Cloudy,Ethnic,Default outfit description.
359,Others,Droopy,Cloudy,Party,Default outfit description.
360,Others,Droopy,Cloudy,Casual,Default outfit description.
361,Others,Droopy,Rainy,Formal,Default outfit description.
362,Others,Droopy,Rainy,Ethnic,Default outfit description.
363,Others,Droopy,Rainy,Party,Default outfit description.
364,Others,Droopy,Rainy,Casual,Default outfit description.
365,Others,Droopy,Cool,Formal,Default outfit description.
366,Others,Droopy,Cool,Ethnic,Default outfit description.
367,Others,Droopy,Cool,Party,Default outfit description.
368,Others,Droopy,Cool,Casual,Default outfit description.
369,Others,Sad,Sunny,Formal,Default outfit description.
370,Others,Sad,Sunny,Ethnic,Default outfit description.
371,Others,Sad,Sunny,Party,Default outfit description.
372,Others,Sad,Sunny,Casual,Default outfit description.
373,Others,Sad,Cloudy,Formal,Default outfit description.
374,Others,Sad,Cloudy,Ethnic,Default outfit description.
375,Others,Sad,Cloudy,Party,Default outfit description.
376,Others,Sad,Cloudy,Casual,Default outfit description.
377,Others,Sad,Rainy,Formal,Default outfit description.
378,Others,Sad,Rainy,Ethnic,Default outfit description.
379,Others,Sad,Rainy,Party,Default outfit description.
380,Others,Sad,Rainy,Casual,Default outfit description.
381,Others,Sad,Cool,Formal,Default outfit description.
382,Others,Sad,Cool,Ethnic,Default outfit description.
383,Others,Sad,Cool,Party,Default outfit description.
384,Others,Sad,Cool,Casual,Default outfit description.
385,Male,Excited,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
386,Male,Excited,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
387,Male,Excited,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
388,Male,Excited,Sunny,Casual,A casual t-shirt with jeans and sneakers.
389,Male,Excited,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
390,Male,Excited,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
391,Male,Excited,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
392,Male,Excited,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
393,Male,Excited,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
394,Male,Excited,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
395,Male,Excited,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
396,Male,Excited,Rainy,Casual,A casual t-shirt with jeans and sneakers.
397,Male,Excited,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
398,Male,Excited,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
399,Male,Excited,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
400,Male,Excited,Cool,Casual,A casual t-shirt with jeans and sneakers.
401,Male,Mellow,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
402,Male,Mellow,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
403,Male,Mellow,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
404,Male,Mellow,Sunny,Casual,A casual t-shirt with jeans and sneakers.
405,Male,Mellow,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
406,Male,Mellow,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
407,Male,Mellow,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
408,Male,Mellow,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
409,Male,Mellow,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
410,Male,Mellow,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
411,Male,Mellow,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
412,Male,Mellow,Rainy,Casual,A casual t-shirt with jeans and sneakers.
413,Male,Mellow,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
414,Male,Mellow,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
415,Male,Mellow,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
416,Male,Mellow,Cool,Casual,A casual t-shirt with jeans and sneakers.
417,Male,Droopy,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
418,Male,Droopy,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
419,Male,Droopy,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
420,Male,Droopy,Sunny,Casual,A casual t-shirt with jeans and sneakers.
421,Male,Droopy,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
422,Male,Droopy,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
423,Male,Droopy,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
424,Male,Droopy,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
425,Male,Droopy,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
426,Male,Droopy,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
427,Male,Droopy,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
428,Male,Droopy,Rainy,Casual,A casual t-shirt with jeans and sneakers.
429,Male,Droopy,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
430,Male,Droopy,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
431,Male,Droopy,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
432,Male,Droopy,Cool,Casual,A casual t-shirt with jeans and sneakers.
433,Male,Sad,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
434,Male,Sad,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
435,Male,Sad,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
436,Male,Sad,Sunny,Casual,A casual t-shirt with jeans and sneakers.
437,Male,Sad,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
438,Male,Sad,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
439,Male,Sad,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
440,Male,Sad,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
441,Male,Sad,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
442,Male,Sad,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
443,Male,Sad,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
444,Male,Sad,Rainy,Casual,A casual t-shirt with jeans and sneakers.
445,Male,Sad,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
446,Male,Sad,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
447,Male,Sad,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
448,Male,Sad,Cool,Casual,A casual t-shirt with jeans and sneakers.
449,Female,Excited,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
450,Female,Excited,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
451,Female,Excited,Sunny,Party,A cocktail dress with stylish accessories.
452,Female,Excited,Sunny,Casual,A casual blouse with jeans and flats.
453,Female,Excited,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
454,Female,Excited,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
455,Female,Excited,Cloudy,Party,A cocktail dress with stylish accessories.
456,Female,Excited,Cloudy,Casual,A casual blouse with jeans and flats.
457,Female,Excited,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
458,Female,Excited,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
459,Female,Excited,Rainy,Party,A cocktail dress with stylish accessories.
460,Female,Excited,Rainy,Casual,A casual blouse with jeans and flats.
461,Female,Excited,Cool,Formal,A tailored pantsuit or a formal dress with heels.
462,Female,Excited,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
463,Female,Excited,Cool,Party,A cocktail dress with stylish accessories.
464,Female,Excited,Cool,Casual,A casual blouse with jeans and flats.
465,Female,Mellow,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
466,Female,Mellow,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
467,Female,Mellow,Sunny,Party,A cocktail dress with stylish accessories.
468,Female,Mellow,Sunny,Casual,A casual blouse with jeans and flats.
469,Female,Mellow,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
470,Female,Mellow,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
471,Female,Mellow,Cloudy,Party,A cocktail dress with stylish accessories.
472,Female,Mellow,Cloudy,Casual,A casual blouse with jeans and flats.
473,Female,Mellow,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
474,Female,Mellow,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
475,Female,Mellow,Rainy,Party,A cocktail dress with stylish accessories.
476,Female,Mellow,Rainy,Casual,A casual blouse with jeans and flats.
477,Female,Mellow,Cool,Formal,A tailored pantsuit or a formal dress with heels.
478,Female,Mellow,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
479,Female,Mellow,Cool,Party,A cocktail dress with stylish accessories.
480,Female,Mellow,Cool,Casual,A casual blouse with jeans and flats.
481,Female,Droopy,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
482,Female,Droopy,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
483,Female,Droopy,Sunny,Party,A cocktail dress with stylish accessories.
484,Female,Droopy,Sunny,Casual,A casual blouse with jeans and flats.
485,Female,Droopy,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
486,Female,Droopy,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
487,Female,Droopy,Cloudy,Party,A cocktail dress with stylish accessories.
488,Female,Droopy,Cloudy,Casual,A casual blouse with jeans and flats.
489,Female,Droopy,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
490,Female,Droopy,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
491,Female,Droopy,Rainy,Party,A cocktail dress with stylish accessories.
492,Female,Droopy,Rainy,Casual,A casual blouse with jeans and flats.
493,Female,Droopy,Cool,Formal,A tailored pantsuit or a formal dress with heels.
494,Female,Droopy,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
495,Female,Droopy,Cool,Party,A cocktail dress with stylish accessories.
496,Female,Droopy,Cool,Casual,A casual blouse with jeans and flats.
497,Female,Sad,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
498,Female,Sad,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
499,Female,Sad,Sunny,Party,A cocktail dress with stylish accessories.
500,Female,Sad,Sunny,Casual,A casual blouse with jeans and flats.
501,Female,Sad,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
502,Female,Sad,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
503,Female,Sad,Cloudy,Party,A cocktail dress with stylish accessories.
504,Female,Sad,Cloudy,Casual,A casual blouse with jeans and flats.
505,Female,Sad,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
506,Female,Sad,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
507,Female,Sad,Rainy,Party,A cocktail dress with stylish accessories.
508,Female,Sad,Rainy,Casual,A casual blouse with jeans and flats.
509,Female,Sad,Cool,Formal,A tailored pantsuit or a formal dress with heels.
510,Female,Sad,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
511,Female,Sad,Cool,Party,A cocktail dress with stylish accessories.
512,Female,Sad,Cool,Casual,A casual blouse with jeans and flats.
513,Others,Excited,Sunny,Formal,Default outfit description.
514,Others,Excited,Sunny,Ethnic,Default outfit description.
515,Others,Excited,Sunny,Party,Default outfit description.
516,Others,Excited,Sunny,Casual,Default outfit description.
517,Others,Excited,Cloudy,Formal,Default outfit description.
518,Others,Excited,Cloudy,Ethnic,Default outfit description.
519,Others,Excited,Cloudy,Party,Default outfit description.
520,Others,Excited,Cloudy,Casual,Default outfit description.
521,Others,Excited,Rainy,Formal,Default outfit description.
522,Others,Excited,Rainy,Ethnic,Default outfit description.
523,Others,Excited,Rainy,Party,Default outfit description.
524,Others,Excited,Rainy,Casual,Default outfit description.
525,Others,Excited,Cool,Formal,Default outfit description.
526,Others,Excited,Cool,Ethnic,Default outfit description.
527,Others,Excited,Cool,Party,Default outfit description.
528,Others,Excited,Cool,Casual,Default outfit description.
529,Others,Mellow,Sunny,Formal,Default outfit description.
530,Others,Mellow,Sunny,Ethnic,Default outfit description.
531,Others,Mellow,Sunny,Party,Default outfit description.
532,Others,Mellow,Sunny,Casual,Default outfit description.
533,Others,Mellow,Cloudy,Formal,Default outfit description.
534,Others,Mellow,Cloudy,Ethnic,Default outfit description.
535,Others,Mellow,Cloudy,Party,Default outfit description.
536,Others,Mellow,Cloudy,Casual,Default outfit description.
537,Others,Mellow,Rainy,Formal,Default outfit description.
538,Others,Mellow,Rainy,Ethnic,Default outfit description.
539,Others,Mellow,Rainy,Party,Default outfit description.
540,Others,Mellow,Rainy,Casual,Default outfit description.
541,Others,Mellow,Cool,Formal,Default outfit description.
542,Others,Mellow,Cool,Ethnic,Default outfit description.
543,Others,Mellow,Cool,Party,Default outfit description.
544,Others,Mellow,Cool,Casual,Default outfit description.
545,Others,Droopy,Sunny,Formal,Default outfit description.
546,Others,Droopy,Sunny,Ethnic,Default outfit description.
547,Others,Droopy,Sunny,Party,Default outfit description.
548,Others,Droopy,Sunny,Casual,Default outfit description.
549,Others,Droopy,Cloudy,Formal,Default outfit description.
550,Others,Droopy,Cloudy,Ethnic,Default outfit description.
551,Others,Droopy,Cloudy,Party,Default outfit description.
552,Others,Droopy,Cloudy,Casual,Default outfit description.
553,Others,Droopy,Rainy,Formal,Default outfit description.
554,Others,Droopy,Rainy,Ethnic,Default outfit description.
555,Others,Droopy,Rainy,Party,Default outfit description.
556,Others,Droopy,Rainy,Casual,Default outfit description.
557,Others,Droopy,Cool,Formal,Default outfit description.
558,Others,Droopy,Cool,Ethnic,Default outfit description.
559,Others,Droopy,Cool,Party,Default outfit description.
560,Others,Droopy,Cool,Casual,Default outfit description.
561,Others,Sad,Sunny,Formal,Default outfit description.
562,Others,Sad,Sunny,Ethnic,Default outfit description.
563,Others,Sad,Sunny,Party,Default outfit description.
564,Others,Sad,Sunny,Casual,Default outfit description.
565,Others,Sad,Cloudy,Formal,Default outfit description.
566,Others,Sad,Cloudy,Ethnic,Default outfit description.
567,Others,Sad,Cloudy,Party,Default outfit description.
568,Others,Sad,Cloudy,Casual,Default outfit description.
569,Others,Sad,Rainy,Formal,Default outfit description.
570,Others,Sad,Rainy,Ethnic,Default outfit description.
571,Others,Sad,Rainy,Party,Default outfit description.
572,Others,Sad,Rainy,Casual,Default outfit description.
573,Others,Sad,Cool,Formal,Default outfit description.
574,Others,Sad,Cool,Ethnic,Default outfit description.
575,Others,Sad,Cool,Party,Default outfit description.
576,Others,Sad,Cool,Casual,Default outfit description.
577,Male,Excited,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
578,Male,Excited,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
579,Male,Excited,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
580,Male,Excited,Sunny,Casual,A casual t-shirt with jeans and sneakers.
581,Male,Excited,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
582,Male,Excited,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
583,Male,Excited,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
584,Male,Excited,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
585,Male,Excited,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
586,Male,Excited,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
587,Male,Excited,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
588,Male,Excited,Rainy,Casual,A casual t-shirt with jeans and sneakers.
589,Male,Excited,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
590,Male,Excited,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
591,Male,Excited,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
592,Male,Excited,Cool,Casual,A casual t-shirt with jeans and sneakers.
593,Male,Mellow,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
594,Male,Mellow,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
595,Male,Mellow,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
596,Male,Mellow,Sunny,Casual,A casual t-shirt with jeans and sneakers.
597,Male,Mellow,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
598,Male,Mellow,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
599,Male,Mellow,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
600,Male,Mellow,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
601,Male,Mellow,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
602,Male,Mellow,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
603,Male,Mellow,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
604,Male,Mellow,Rainy,Casual,A casual t-shirt with jeans and sneakers.
605,Male,Mellow,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
606,Male,Mellow,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
607,Male,Mellow,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
608,Male,Mellow,Cool,Casual,A casual t-shirt with jeans and sneakers.
609,Male,Droopy,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
610,Male,Droopy,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
611,Male,Droopy,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
612,Male,Droopy,Sunny,Casual,A casual t-shirt with jeans and sneakers.
613,Male,Droopy,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
614,Male,Droopy,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
615,Male,Droopy,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
616,Male,Droopy,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
617,Male,Droopy,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
618,Male,Droopy,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
619,Male,Droopy,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
620,Male,Droopy,Rainy,Casual,A casual t-shirt with jeans and sneakers.
621,Male,Droopy,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
622,Male,Droopy,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
623,Male,Droopy,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
624,Male,Droopy,Cool,Casual,A casual t-shirt with jeans and sneakers.
625,Male,Sad,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
626,Male,Sad,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
627,Male,Sad,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
628,Male,Sad,Sunny,Casual,A casual t-shirt with jeans and sneakers.
629,Male,Sad,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
630,Male,Sad,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
631,Male,Sad,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
632,Male,Sad,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
633,Male,Sad,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
634,Male,Sad,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
635,Male,Sad,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
636,Male,Sad,Rainy,Casual,A casual t-shirt with jeans and sneakers.
637,Male,Sad,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
638,Male,Sad,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
639,Male,Sad,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
640,Male,Sad,Cool,Casual,A casual t-shirt with jeans and sneakers.
641,Female,Excited,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
642,Female,Excited,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
643,Female,Excited,Sunny,Party,A cocktail dress with stylish accessories.
644,Female,Excited,Sunny,Casual,A casual blouse with jeans and flats.
645,Female,Excited,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
646,Female,Excited,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
647,Female,Excited,Cloudy,Party,A cocktail dress with stylish accessories.
648,Female,Excited,Cloudy,Casual,A casual blouse with jeans and flats.
649,Female,Excited,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
650,Female,Excited,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
651,Female,Excited,Rainy,Party,A cocktail dress with stylish accessories.
652,Female,Excited,Rainy,Casual,A casual blouse with jeans and flats.
653,Female,Excited,Cool,Formal,A tailored pantsuit or a formal dress with heels.
654,Female,Excited,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
655,Female,Excited,Cool,Party,A cocktail dress with stylish accessories.
656,Female,Excited,Cool,Casual,A casual blouse with jeans and flats.
657,Female,Mellow,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
658,Female,Mellow,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
659,Female,Mellow,Sunny,Party,A cocktail dress with stylish accessories.
